WHO_REGION,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
AFR,NAM,Namibia,MCV2,,,,,,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,MCV2,96,49,,81,99,99,92,99,99,97,50,60,,,95,,,,,,
SEAR,NPL,Nepal,MCV2,,,,,,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),MCV2,92,93,92,93,93,92,93,93,93,93,93,98,98,96,96,96,96,96,96,96,94
WPR,NZL,New Zealand,MCV2,87,86,86,85,86,,,,,,,,,,,,,,,,
AMR,NIC,Nicaragua,MCV2,,,,99,,,,,,,,,,,,97,,,,,
AFR,NER,Niger (the),MCV2,16,3,,,,,,,,,,,,,,,,,,,
AFR,NGA,Nigeria,MCV2,,,,,,,,,,,,,,,,,,,,,
WPR,NIU,Niue,MCV2,99,,99,98,98,99,99,99,99,99,70,99,86,90,99,99,99,,,,
EUR,NOR,Norway,MCV2,91,92,91,91,94,97,96,95,93,91,91,90,89,90,90,90,,,,,
EMR,OMN,Oman,MCV2,98,99,99,99,99,99,99,98,95,97,97,98,98,98,99,99,99,,,,
EMR,PAK,Pakistan,MCV2,65,60,58,53,53,51,30,,,,,,,,,,,,,,
WPR,PLW,Palau,MCV2,82,81,98,86,83,,,77,83,98,95,98,,90,,75,94,,,,
AMR,PAN,Panama,MCV2,92,90,68,72,81,73,99,60,80,60,89,,,,,88,,,,,
WPR,PNG,Papua New Guinea,MCV2,,,,,,,,54,47,55,49,50,53,63,48,53,53,51,40,44,
AMR,PRY,Paraguay,MCV2,60,64,64,62,65,64,63,70,63,58,28,,,82,,,,,,,
AMR,PER,Peru,MCV2,63,44,54,63,70,57,42,17,9,,,,,,,97,,,,,
WPR,PHL,Philippines (the),MCV2,67,59,54,42,36,10,58,,,,,,,,,,,,,,
EUR,POL,Poland,MCV2,94,95,93,95,95,94,95,97,98,99,90,96,97,97,96,96,96,,,,
EUR,PRT,Portugal,MCV2,95,96,96,96,96,95,95,95,95,95,,,,,,49,,,,,
EMR,QAT,Qatar,MCV2,91,94,99,99,99,98,99,,45,87,98,,91,91,,,,,,,
WPR,KOR,Republic of Korea (the),MCV2,97,96,95,97,98,98,99,99,99,99,99,99,95,95,,39,,,,,
EUR,MDA,Republic of Moldova (the),MCV2,90,93,94,95,97,98,98,97,95,99,98,98,96,69,,,,,,,
EUR,ROU,Romania,MCV2,,,88,,91,93,,95,96,96,96,97,97,97,97,97,96,,,,
EUR,RUS,Russian Federation (the),MCV2,97,97,97,97,97,98,97,97,97,97,97,97,96,93,88,86,84,76,51,46,42
AFR,RWA,Rwanda,MCV2,87,77,,,,,,,,,,,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,MCV2,90,90,94,90,99,99,99,94,,,,98,,,,99,,,,,
AMR,LCA,Saint Lucia,MCV2,95,79,62,80,72,74,63,22,,,,67,,,73,89,,,,,
AMR,VCT,Saint Vincent and the Grenadines,MCV2,99,98,96,92,99,89,94,94,83,,93,73,,99,99,,,,,,
WPR,WSM,Samoa,MCV2,63,78,87,67,65,45,29,61,51,21,,,,99,,,,,,,
EUR,SMR,San Marino,MCV2,82,76,77,88,84,,,,,93,94,96,96,,,,,,,,
AFR,STP,Sao Tome and Principe,MCV2,76,71,,,,,,,,,,,,,,,,,,,
EMR,SAU,Saudi Arabia,MCV2,96,98,99,98,97,98,,98,,,,,,,96,,,,,,
AFR,SEN,Senegal,MCV2,54,13,,,,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,MCV2,87,91,82,90,90,91,87,97,96,90,98,96,96,75,74,,81,,,,
AFR,SYC,Seychelles,MCV2,98,98,97,99,99,98,99,98,99,99,99,99,99,99,98,,,,,,
