code,name,vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
BLZ,Belize,MCV2,95,92,92,93,98,91,92,90,89,92,87,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,MCV2,94,92,89,90,95,85,90,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia (Plurinational State of),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,MCV2,88,92,,94,88,91,88,92,95,61,90,88,85,90,86,74,75,,,,,,,,,,,,,,,,,,,
BWA,Botswana,MCV2,70,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,MCV2,80,89,69,,,53,55,56,,,,,,80,95,95,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,MCV2,97,96,92,96,93,93,99,89,,,97,97,,,,,94,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,MCV2,87,89,94,94,94,96,93,94,94,93,92,91,89,79,85,83,97,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,MCV2,50,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,MCV2,65,60,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,Cabo Verde,MCV2,95,79,89,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,MCV2,72,73,63,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,MCV2,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,MCV2,89,88,78,74,77,84,89,89,95,95,96,99,,,,,,,,,,,,,,,,,,,,,,,,
CHN,China,MCV2,99,99,99,99,99,99,98,,92,94,84,96,96,97,77,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,MCV2,86,88,72,79,76,73,71,69,93,85,73,70,70,93,83,84,93,88,86,,,,,,,,,,,,,,,,,
COM,Comoros (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,Congo (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COK,Cook Islands,MCV2,95,98,95,98,96,98,61,95,98,99,,86,88,61,50,70,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,MCV2,90,90,92,95,80,79,84,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIV,Côte d'Ivoire,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,MCV2,96,97,97,97,98,98,,98,98,98,98,98,98,98,98,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,MCV2,99,99,99,99,95,98,95,99,99,97,53,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,MCV2,,,,,,88,88,89,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic (the),MCV2,99,96,99,99,98,98,98,98,98,98,97,97,97,98,97,97,,,,,,,,,,,,,,,,,,,,
PRK,Democratic People's Republic of Korea (the),MCV2,97,99,99,99,99,99,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,Democratic Republic of the Congo (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,MCV2,80,84,86,87,86,85,85,,88,91,91,88,88,92,87,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,MCV2,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,MCV2,94,89,91,94,99,99,95,99,95,99,,99,,99,62,,,,,,,,,,,,,,,,,,,,,
