code,value,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
UGA,3,1,3,3,1,1,1,1,1,3,1
UKR,2,3,,,,3,,,0,0,0
URY,0,0,0,,,,0,0,0,0,0
USA,0,,,,,,,,,,
UZB,2,2,0,0,0,2,0,1,0,,0
VCT,2,0,0,0,3,0,0,0,3,0,0
VEN,2,3,0,0,0,0,3,0,,0,
VNM,0,0,0,0,,0,0,0,0,0,0
VUT,1,0,0,,0,0,0,0,3,1,
WSM,0,0,,0,0,0,0,0,0,0,0
YEM,2,3,0,0,0,0,0,0,3,0,0
ZAF,3,3,,0,0,0,3,2,,,0
ZMB,1,0,0,0,,0,0,0,1,3,0
ZWE,1,3,0,0,1,1,1,1,1,0,0
