code,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
SRB,0,,,,,0,0,0,0,3,3,3,2
SSD,,0,,0,3,,,,,,,,
STP,3,0,3,0,0,0,0,0,0,0,0,0,0
SUR,,,,,,,,,,,,,
SVK,,,0,0,0,0,0,0,0,0,0,0,2
SVN,3,0,0,0,0,0,0,0,0,0,0,0,2
SWE,1,,,,,,,,,,,,
SWZ,0,3,0,3,0,0,3,0,0,0,0,0,0
SYC,0,0,0,2,0,0,0,0,0,0,2,0,0
SYR,3,0,3,0,0,0,0,0,0,0,0,,0
TCD,1,3,0,1,0,1,2,3,1,1,0,3,0
TGO,0,1,0,1,0,0,3,1,1,1,1,1,2
THA,0,0,0,0,0,0,0,0,0,0,0,0,0
TJK,0,0,0,0,0,0,0,0,3,3,0,3,0
TKM,0,0,0,0,0,0,0,0,0,0,0,0,0
TLS,0,0,3,3,0,0,0,0,0,0,0,0,0
TON,0,0,0,0,0,0,0,0,0,0,0,0,0
TTO,,,,0,,,,,,,0,,
TUN,0,0,0,0,0,0,0,0,0,0,0,,0
TUR,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,,1,,0,1,1,3,0,0,0,0,0,0
TZA,0,0,3,3,0,0,1,0,2,0,0,0,0
UGA,1,3,3,1,1,1,1,1,3,1,0,1,0
UKR,3,,,,3,,,0,0,0,0,0,0
URY,0,0,,,,0,0,0,0,0,0,0,0
USA,,,,,,,,,,,,,
UZB,2,0,0,0,2,0,1,0,,0,3,0,0
VCT,0,0,0,3,0,0,0,3,0,0,0,0,
VEN,3,0,0,0,0,3,0,,0,,2,2,2
VNM,0,0,0,,0,0,0,0,0,0,0,0,0
VUT,0,0,,0,0,0,0,3,1,,0,,0
WSM,0,,0,0,0,0,0,0,0,0,0,3,2
YEM,3,0,0,0,0,0,0,3,0,0,0,3,0
ZAF,3,,0,0,0,3,2,,,0,0,0,0
ZMB,0,0,0,,0,0,0,1,3,0,3,0,2
ZWE,3,0,0,1,1,1,1,1,0,0,1,0,0
