code,name,vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
NPL,Nepal,Pol3,90,92,92,90,92,83,93,82,82,91,78,80,76,72,92,80,76,70,78,76,66,63,69,72,74,79,72,76,43,34,20,6,4,3,1,
NLD,Netherlands (the),Pol3,95,96,97,97,97,97,97,97,97,96,96,98,98,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,96,96
NZL,New Zealand,Pol3,92,93,92,93,95,93,92,89,88,89,89,,,,82,82,85,82,99,,87,84,,68,68,,,,74,84,84,84,72,,,
NIC,Nicaragua,Pol3,99,99,99,99,99,99,99,97,99,88,87,80,86,85,93,93,93,91,99,99,95,94,95,84,85,90,87,91,99,94,88,81,83,71,24,21
NER,Niger (the),Pol3,89,91,80,95,61,92,88,88,79,99,89,62,51,25,31,23,24,25,33,32,23,20,20,37,39,35,13,9,,,,,,,6,
NGA,Nigeria,Pol3,64,72,67,77,74,69,63,50,62,67,32,37,,,,38,,22,25,26,31,45,29,38,42,55,47,36,21,,10,3,,,,
NIU,Niue,Pol3,99,,99,99,99,99,99,99,99,99,86,99,,99,99,99,99,99,99,99,99,,99,,99,,99,99,99,,,43,,,79,76
NOR,Norway,Pol3,95,93,94,95,94,93,94,94,93,94,91,92,92,93,91,91,,,91,92,92,93,92,98,93,84,84,84,80,84,90,90,90,,,
OMN,Oman,Pol3,99,99,99,99,99,99,96,99,97,98,99,99,99,99,99,99,99,99,99,99,99,97,97,99,95,98,98,90,89,82,60,45,31,24,19,18
PAK,Pakistan,Pol3,75,70,66,89,89,88,85,81,83,83,81,65,69,71,74,74,80,79,74,77,57,65,74,78,81,83,73,64,62,56,30,44,15,5,3,2
PLW,Palau,Pol3,89,95,99,89,98,68,48,92,94,98,98,98,,99,,96,96,96,90,99,99,34,99,,98,99,,,98,,,,,,,
PAN,Panama,Pol3,72,80,80,87,91,95,85,86,84,98,88,99,95,99,95,99,94,99,99,92,86,83,83,77,82,86,72,70,74,72,71,65,84,60,74,70
PNG,Papua New Guinea,Pol3,63,53,69,70,58,70,70,65,61,75,50,49,53,47,32,47,48,48,35,58,68,60,56,57,68,68,52,48,46,42,34,32,27,27,32,29
PRY,Paraguay,Pol3,80,74,71,74,75,76,72,76,78,85,87,88,86,87,90,73,74,81,82,81,80,80,79,88,81,78,41,90,81,90,99,68,47,38,26,13
PER,Peru,Pol3,88,78,71,94,91,92,92,98,96,95,85,91,95,95,90,93,96,96,97,99,93,87,88,85,74,73,60,61,45,50,47,28,22,23,20,16
PHL,Philippines (the),Pol3,79,77,84,88,87,78,86,91,87,88,90,85,85,77,76,75,,87,90,90,85,88,90,92,90,88,85,78,72,52,54,51,52,51,46,50
POL,Poland,Pol3,92,94,95,95,96,96,96,96,99,99,99,99,98,98,98,98,98,98,98,97,96,95,95,94,94,96,96,96,96,95,94,95,95,95,95,96
PRT,Portugal,Pol3,98,98,98,98,97,97,96,97,96,97,93,95,96,94,,96,,96,93,95,96,96,92,93,95,89,88,81,81,78,29,21,20,18,16,18
QAT,Qatar,Pol3,99,99,99,92,93,98,98,,97,95,98,95,93,96,93,91,92,94,92,92,92,91,90,88,86,82,81,69,86,70,71,60,49,37,43,61
KOR,Republic of Korea (the),Pol3,98,99,99,99,98,95,95,92,91,98,96,90,94,99,59,99,,71,81,,99,93,,,,74,88,,93,80,80,80,78,,62,89
MDA,Republic of Moldova (the),Pol3,88,92,92,92,96,97,95,96,93,98,99,98,98,98,98,97,98,98,98,99,97,94,92,93,89,91,92,94,95,96,94,93,95,97,97,94
ROU,Romania,Pol3,89,94,88,92,89,94,,,96,97,97,97,97,,99,99,98,98,97,97,94,94,91,92,90,92,95,92,90,90,92,,,,,
RUS,Russian Federation (the),Pol3,97,97,98,98,98,98,98,98,98,98,98,98,97,97,97,97,97,94,91,87,77,68,82,69,72,69,69,61,50,57,,,,,,
RWA,Rwanda,Pol3,99,98,99,99,93,93,93,97,98,99,95,89,96,85,76,90,85,,77,98,90,,83,85,89,58,68,78,78,80,56,,,,15,
KNA,Saint Kitts and Nevis,Pol3,91,96,97,99,99,91,99,98,99,99,99,96,99,97,99,99,99,98,99,98,99,99,99,99,99,99,99,93,98,99,89,97,91,93,71,76
LCA,Saint Lucia,Pol3,99,99,99,98,99,97,95,96,99,85,95,91,91,90,96,70,89,88,98,88,98,93,97,96,95,90,93,87,86,88,44,84,80,81,65,58
VCT,Saint Vincent and the Grenadines,Pol3,99,97,99,96,96,99,99,99,99,99,93,99,99,99,99,99,99,99,99,99,97,99,99,99,99,92,97,97,96,95,89,90,84,99,33,26
WSM,Samoa,Pol3,94,91,95,95,91,86,72,78,71,57,73,41,,96,92,99,98,99,99,95,94,93,,91,79,88,66,90,93,94,92,96,89,87,66,29
SMR,San Marino,Pol3,76,80,,96,86,75,92,87,92,95,95,98,96,,,96,,,,,,,99,99,99,,,,,,,,99,,,
STP,Sao Tome and Principe,Pol3,96,95,97,96,96,98,99,99,98,97,97,99,94,92,,87,,72,73,68,79,,60,67,87,90,62,72,72,66,48,48,,,48,
SAU,Saudi Arabia,Pol3,97,98,98,98,98,98,98,98,96,96,96,96,95,95,97,95,93,94,92,93,96,95,94,91,91,92,96,89,89,86,81,76,67,62,53,41
SEN,Senegal,Pol3,85,85,89,73,73,70,83,87,93,89,84,87,73,60,49,49,60,60,65,70,80,57,52,46,51,66,71,58,,,54,,,,,
SRB,Serbia,Pol3,95,93,97,93,94,91,97,95,93,97,98,97,89,95,93,98,92,,94,91,90,84,83,84,81,81,90,92,90,89,90,89,85,,95,
SYC,Seychelles,Pol3,97,99,98,98,99,99,99,99,99,99,99,99,99,99,96,,99,99,98,99,98,96,,96,,99,,97,89,94,86,95,,,16,
SLE,Sierra Leone,Pol3,86,83,92,91,76,76,91,86,79,95,64,61,60,52,38,26,43,56,26,65,43,41,63,64,57,83,,21,,,,22,23,9,13,7
SGP,Singapore,Pol3,96,96,97,97,96,97,97,97,96,95,96,95,96,94,95,98,97,97,98,97,98,94,92,92,91,85,90,90,95,94,81,81,86,83,88,83
SVK,Slovakia,Pol3,96,97,98,99,99,99,99,99,99,99,99,99,98,98,99,98,99,98,98,98,98,98,99,99,99,99,,,,,,,,,,
SVN,Slovenia,Pol3,95,95,95,96,96,96,96,97,97,97,95,94,95,93,93,93,93,90,92,98,98,98,98,98,96,95,95,95,94,93,91,89,90,89,87,87
SLB,Solomon Islands,Pol3,85,78,85,86,93,78,82,78,77,91,74,75,70,68,80,,84,69,70,98,69,65,71,,74,75,66,63,41,41,36,41,27,22,34,43
SOM,Somalia,Pol3,42,66,24,47,49,43,37,40,40,24,35,30,40,40,33,37,18,24,19,,,,,,,,18,26,25,17,22,10,5,4,2,8
ZAF,South Africa,Pol3,93,95,91,83,87,99,99,99,97,99,97,89,94,84,80,96,72,,73,73,72,,81,79,82,76,87,70,75,70,77,76,80,,,
SSD,South Sudan,Pol3,55,58,56,68,46,43,50,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,Spain,Pol3,97,97,96,97,97,97,96,97,96,98,96,97,99,98,95,95,95,94,94,91,88,88,88,85,88,94,94,94,82,75,73,91,,,,
LKA,Sri Lanka,Pol3,99,99,99,99,99,99,97,98,98,98,99,97,98,98,99,99,99,94,98,92,92,89,90,88,86,86,88,85,79,75,71,65,64,56,45,46
SDN,Sudan (the),Pol3,93,94,93,92,93,95,91,92,91,85,83,79,74,64,71,65,78,68,78,80,74,70,51,53,62,62,40,40,29,14,8,4,3,2,1,1
SUR,Suriname,Pol3,89,85,87,84,86,96,85,85,84,84,84,84,74,74,65,70,84,90,81,84,81,71,75,71,77,81,71,71,70,80,85,79,83,53,77,24
